Mois;Qualité;Territoire;Production totale;Production nucléaire;Production thermique totale;Production thermique charbon;Production thermique fioul;Production thermique gaz;Production hydraulique;Production éolien;Production solaire;Production bioénergies;Consommation totale;Solde exportateur;Echanges export;Echanges import;Echanges avec le Royaume-Uni;Echanges avec l'Espagne;Echanges avec l'Italie;Echanges avec la Suisse;Echanges avec l'Allemagne et la Belgique;
0000-00;Données consolidées;Grand-Est;11346;8643;1120;22;2;1095;565;909;19;86;4545;6711;;;;;;;;
0000-00;Données consolidées;Nouvelle-Aquitaine;5289;4179;164;;0;164;419;283;123;120;4578;711;;;;;;;;
0000-00;Données consolidées;Auvergne-Rhône-Alpes;11622;8382;334;6;11;316;2630;118;50;104;6834;4483;;;;;;;;
0000-00;Données consolidées;Bourgogne-Franche-Comté;467;;124;;0;123;89;208;14;31;2188;-1724;;;;;;;;
0000-00;Données consolidées;Bretagne;535;;182;;4;178;59;249;8;36;2443;-1915;;;;;;;;
0000-00;Données consolidées;Centre-Val de Loire;7434;6951;87;;0;87;17;323;13;40;2031;5402;;;;;;;;
0000-00;Données consolidées;France;54572;37352;5470;157;149;5163;6350;4111;453;834;49559;4252;7740;3488;759;964;1918;1553;-943;
0000-00;Données consolidées;Ile-de-France;393;;259;0;6;252;3;26;3;100;7539;-7145;;;;;;;;
0000-00;Données consolidées;Occitanie;3689;1812;68;;0;68;1296;341;106;64;4097;-527;;;;;;;;
0000-00;Données consolidées;Normandie;4898;4276;343;41;27;274;13;216;5;42;2946;1951;;;;;;;;
0000-00;Données consolidées;Hauts-de-France;5659;3105;1294;0;5;1289;1;1159;4;93;5039;619;;;;;;;;
0000-00;Données consolidées;PACA;2261;;937;0;17;919;1167;7;74;75;4195;-1939;;;;;;;;
0000-00;Données consolidées;Pays-de-la-Loire;824;;496;86;16;393;3;265;21;38;2897;-2073;;;;;;;;
2012-01;Données définitives;France;57177;42811;5399;741;691;3967;6741;1587;125;514;51086;5371;7043;1672;929;724;1581;2195;-59;
2012-02;Données définitives;France;54419;38661;8721;2511;1309;4901;5244;1123;216;454;54476;-715;4504;5220;-798;-309;1244;1579;-2430;
2012-03;Données définitives;France;48583;37549;5276;1435;666;3175;3894;977;356;531;43156;4888;7042;2153;583;330;1742;2235;-1;
2012-04;Données définitives;France;44192;33100;3484;1655;486;1343;5302;1572;329;405;40176;3447;5762;2314;547;-9;1271;1670;-31;
2012-05;Données définitives;France;40433;29058;1772;854;368;549;7706;974;454;469;35257;4425;6391;1965;693;251;1341;1060;1079;
2012-06;Données définitives;France;37518;26562;2219;960;384;875;6823;994;483;437;33219;3648;5674;2026;447;482;1207;599;913;
2012-07;Données définitives;France;37910;28818;2221;1110;437;674;4901;912;544;513;34141;3216;5327;2110;822;494;825;787;287;
2012-08;Données définitives;France;36339;28314;2533;1165;413;956;3563;907;536;486;32247;3561;5834;2273;948;334;610;792;877;
2012-09;Données définitives;France;38035;30130;2450;1382;396;671;3641;931;413;470;33269;4054;6036;1981;1011;72;790;1413;769;
2012-10;Données définitives;France;42987;32848;3518;2039;456;1022;4534;1355;283;450;38628;3625;6387;2762;183;-273;1621;1774;321;
2012-11;Données définitives;France;49228;37119;5189;1821;524;2845;4914;1309;182;514;44260;4355;6802;2447;597;-172;1586;1705;639;
2012-12;Données définitives;France;54715;39912;5319;1714;548;3057;6521;2290;149;525;49602;4367;6716;2349;529;-30;1292;1718;859;
2013-01;Données définitives;Grand-Est;9924;7258;1508;928;8;570;814;278;7;57;0;0;;;;;;;;
2013-01;Données définitives;Nouvelle-Aquitaine;5644;4801;187;;0;186;465;61;23;105;0;0;;;;;;;;
2013-01;Données définitives;Auvergne-Rhône-Alpes;13119;9641;278;0;49;227;3047;66;14;71;0;0;;;;;;;;
2013-01;Données définitives;Bourgogne-Franche-Comté;403;;244;75;0;168;121;21;2;13;0;0;;;;;;;;
2013-01;Données définitives;Bretagne;246;;49;;1;48;56;118;3;18;0;0;;;;;;;;
2013-01;Données définitives;Centre-Val de Loire;7965;7717;70;;2;67;24;122;3;27;0;;;;;;;;;
2013-01;Données définitives;France;57739;42406;6301;2566;393;3342;6906;1326;146;654;53619;3484;6604;3120;493;91;1499;1666;-265;
2013-01;Données définitives;Ile-de-France;870;;753;195;37;520;0;3;0;112;0;;;;;;;;;
2013-01;Données définitives;Occitanie;3450;1853;76;;10;65;1214;208;34;63;0;;;;;;;;;
2013-01;Données définitives;Normandie;8304;7473;677;392;47;238;15;87;1;48;0;;;;;;;;;
2013-01;Données définitives;Hauts-de-France;4786;3660;797;118;0;678;1;267;1;57;0;;;;;;;;;
2013-01;Données définitives;PACA;1941;;759;254;128;376;1079;12;38;52;0;;;;;;;;;
2013-01;Données définitives;Pays-de-la-Loire;933;;817;600;22;193;1;75;7;30;0;;;;;;;;;
2013-02;Données définitives;Grand-Est;9057;6086;1863;1087;8;768;708;332;14;52;0;0;;;;;;;;
2013-02;Données définitives;Nouvelle-Aquitaine;5313;4374;158;;6;152;570;70;42;96;0;0;;;;;;;;
2013-02;Données définitives;Auvergne-Rhône-Alpes;11499;8309;233;0;56;175;2808;66;21;60;0;0;;;;;;;;
2013-02;Données définitives;Bourgogne-Franche-Comté;378;;210;91;0;118;124;25;5;12;0;0;;;;;;;;
2013-02;Données définitives;Bretagne;241;;45;;1;43;47;122;7;18;0;0;;;;;;;;
2013-02;Données définitives;Centre-Val de Loire;7261;6992;57;;2;54;27;150;7;26;0;;;;;;;;;
2013-02;Données définitives;France;52257;36754;6357;2667;397;3293;6858;1463;230;595;49639;2132;5850;3718;465;-306;1545;1563;-1135;
2013-02;Données définitives;Ile-de-France;779;;668;141;41;484;0;3;2;105;0;;;;;;;;;
2013-02;Données définitives;Occitanie;3491;1712;55;;-4;59;1406;209;53;55;0;;;;;;;;;
2013-02;Données définitives;Normandie;7152;6322;678;370;44;263;11;89;3;45;0;;;;;;;;;
2013-02;Données définitives;Hauts-de-France;4072;2956;776;106;0;668;1;283;4;50;0;;;;;;;;;
2013-02;Données définitives;PACA;1817;;626;256;117;252;1085;12;46;47;0;;;;;;;;;
2013-02;Données définitives;Pays-de-la-Loire;1046;;906;611;44;250;1;96;14;28;0;;;;;;;;;
2013-03;Données définitives;Grand-Est;9500;6711;1685;1043;9;632;697;316;29;59;0;0;;;;;;;;
2013-03;Données définitives;Nouvelle-Aquitaine;5255;4399;155;;6;149;454;67;68;110;0;0;;;;;;;;
2013-03;Données définitives;Auvergne-Rhône-Alpes;11129;8164;214;0;56;156;2582;62;34;70;0;0;;;;;;;;
2013-03;Données définitives;Bourgogne-Franche-Comté;339;;209;83;0;124;84;21;10;13;0;0;;;;;;;;
2013-03;Données définitives;Bretagne;249;;49;;2;47;50;120;10;19;0;0;;;;;;;;
2013-03;Données définitives;Centre-Val de Loire;7083;6836;61;;2;59;16;125;11;31;0;;;;;;;;;
2013-03;Données définitives;France;51882;36785;6270;2833;422;3015;6488;1352;344;642;49480;1733;6003;4270;566;-636;1170;1513;-880;
2013-03;Données définitives;Ile-de-France;886;;769;242;61;466;3;2;3;106;0;;;;;;;;;
2013-03;Données définitives;Occitanie;3648;1798;86;;24;62;1437;186;76;62;0;;;;;;;;;
2013-03;Données définitives;Normandie;7126;6283;701;384;48;268;15;73;5;45;0;;;;;;;;;
2013-03;Données définitives;Hauts-de-France;3669;2590;738;118;0;619;1;275;7;55;0;;;;;;;;;
2013-03;Données définitives;PACA;1875;;738;403;123;210;1032;10;56;37;0;;;;;;;;;
2013-03;Données définitives;Pays-de-la-Loire;954;;811;554;37;218;1;86;21;33;0;;;;;;;;;
2013-04;Données définitives;Grand-Est;8815;6661;876;611;0;264;835;362;41;36;0;0;;;;;;;;
2013-04;Données définitives;Nouvelle-Aquitaine;3548;2774;34;;4;29;509;56;82;91;0;0;;;;;;;;
2013-04;Données définitives;Auvergne-Rhône-Alpes;10532;7410;34;0;31;3;2948;55;39;42;0;0;;;;;;;;
2013-04;Données définitives;Bourgogne-Franche-Comté;178;;33;2;0;29;96;25;14;8;0;0;;;;;;;;
